09:21:23.882 [main] INFO  c.e.brand_sales.BrandAnalyticsApp - 브랜드 분석 애플리케이션 시작
09:21:23.884 [main] INFO  c.e.brand_sales.BrandAnalyticsApp - Kafka 서버: 13.209.157.53:9092,15.164.111.153:9092,3.34.32.69:9092
09:21:23.886 [main] INFO  c.e.brand_sales.BrandAnalyticsApp - 소스 토픽: test-topic
09:21:23.886 [main] INFO  c.e.brand_sales.BrandAnalyticsApp - 브랜드별 매출 싱크 토픽: sales_minute-minute
09:21:23.886 [main] INFO  c.e.brand_sales.BrandAnalyticsApp - 브랜드별 베스트 스토어 싱크 토픽: sales_minute-best-store
09:21:24.571 [main] WARN  o.a.f.s.c.kafka.FlinkKafkaProducer - Property [transaction.timeout.ms] not specified. Setting it to 3600000 ms
09:21:24.575 [main] WARN  o.a.f.s.c.kafka.FlinkKafkaProducer - Overwriting the 'key.serializer' is not recommended
09:21:24.575 [main] WARN  o.a.f.s.c.kafka.FlinkKafkaProducer - Overwriting the 'value.serializer' is not recommended
09:21:25.869 [flink-pekko.actor.default-dispatcher-4] INFO  o.a.pekko.event.slf4j.Slf4jLogger - Slf4jLogger started
09:21:26.036 [flink-metrics-7] INFO  o.a.pekko.event.slf4j.Slf4jLogger - Slf4jLogger started
09:21:26.187 [main] WARN  o.a.f.r.s.t.DefaultDelegationTokenManager - No tokens obtained so skipping notifications
09:21:26.896 [main] WARN  o.a.f.r.webmonitor.WebMonitorUtils - Log file environment variable 'log.file' is not set.
09:21:26.896 [main] WARN  o.a.f.r.webmonitor.WebMonitorUtils - JobManager log files are unavailable in the web dashboard. Log file location not found in environment variable 'log.file' or configuration key 'web.log.path'.
09:21:27.296 [flink-pekko.actor.default-dispatcher-4] WARN  o.a.f.r.s.t.DefaultDelegationTokenManager - No tokens obtained so skipping notifications
09:21:27.296 [flink-pekko.actor.default-dispatcher-4] WARN  o.a.f.r.s.t.DefaultDelegationTokenManager - Tokens update task not started because either no tokens obtained or none of the tokens specified its renewal date
09:21:27.595 [jobmanager-io-thread-1] INFO  o.a.f.r.c.CheckpointCoordinator - No checkpoint found during restore.
09:21:30.546 [kafka-producer-network-thread | producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=producer-1] Connection to node -1 (/13.209.157.53:9092) could not be established. Broker may not be available.
09:21:30.546 [kafka-producer-network-thread | producer-2] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=producer-2] Connection to node -2 (/15.164.111.153:9092) could not be established. Broker may not be available.
09:21:30.547 [Source: 영수증 데이터 소스 -> Map -> 오늘 영수증 필터 (1/1)#0] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-brand_sales-analytics-1, groupId=brand_sales-analytics] Connection to node -2 (/15.164.111.153:9092) could not be established. Broker may not be available.
09:21:30.547 [kafka-producer-network-thread | producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=producer-1] Bootstrap broker 13.209.157.53:9092 (id: -1 rack: null) disconnected
09:21:30.547 [Source: 영수증 데이터 소스 -> Map -> 오늘 영수증 필터 (1/1)#0] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-brand_sales-analytics-1, groupId=brand_sales-analytics] Bootstrap broker 15.164.111.153:9092 (id: -2 rack: null) disconnected
09:21:30.547 [kafka-producer-network-thread | producer-2] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=producer-2] Bootstrap broker 15.164.111.153:9092 (id: -2 rack: null) disconnected
09:21:30.565 [kafka-producer-network-thread | producer-2] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=producer-2] Connection to node -3 (/3.34.32.69:9092) could not be established. Broker may not be available.
09:21:30.573 [kafka-producer-network-thread | producer-2] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=producer-2] Bootstrap broker 3.34.32.69:9092 (id: -3 rack: null) disconnected
09:21:32.698 [kafka-producer-network-thread | producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=producer-1] Connection to node -2 (/15.164.111.153:9092) could not be established. Broker may not be available.
09:21:32.698 [kafka-producer-network-thread | producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=producer-1] Bootstrap broker 15.164.111.153:9092 (id: -2 rack: null) disconnected
09:21:32.737 [kafka-producer-network-thread | producer-2] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=producer-2] Connection to node -1 (/13.209.157.53:9092) could not be established. Broker may not be available.
09:21:32.737 [Source: 영수증 데이터 소스 -> Map -> 오늘 영수증 필터 (1/1)#0] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-brand_sales-analytics-1, groupId=brand_sales-analytics] Connection to node -3 (/3.34.32.69:9092) could not be established. Broker may not be available.
09:21:32.737 [kafka-producer-network-thread | producer-2] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=producer-2] Bootstrap broker 13.209.157.53:9092 (id: -1 rack: null) disconnected
09:21:32.737 [Source: 영수증 데이터 소스 -> Map -> 오늘 영수증 필터 (1/1)#0] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-brand_sales-analytics-1, groupId=brand_sales-analytics] Bootstrap broker 3.34.32.69:9092 (id: -3 rack: null) disconnected
09:21:34.852 [kafka-producer-network-thread | producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=producer-1] Connection to node -3 (/3.34.32.69:9092) could not be established. Broker may not be available.
09:21:34.852 [kafka-producer-network-thread | producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=producer-1] Bootstrap broker 3.34.32.69:9092 (id: -3 rack: null) disconnected
09:21:34.899 [Source: 영수증 데이터 소스 -> Map -> 오늘 영수증 필터 (1/1)#0] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-brand_sales-analytics-1, groupId=brand_sales-analytics] Connection to node -1 (/13.209.157.53:9092) could not be established. Broker may not be available.
09:21:34.899 [Source: 영수증 데이터 소스 -> Map -> 오늘 영수증 필터 (1/1)#0] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-brand_sales-analytics-1, groupId=brand_sales-analytics] Bootstrap broker 13.209.157.53:9092 (id: -1 rack: null) disconnected
09:21:34.899 [kafka-producer-network-thread | producer-2] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=producer-2] Connection to node -2 (/15.164.111.153:9092) could not be established. Broker may not be available.
09:21:34.899 [kafka-producer-network-thread | producer-2] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=producer-2] Bootstrap broker 15.164.111.153:9092 (id: -2 rack: null) disconnected
09:30:24.526 [main] INFO  c.e.brand_sales.BrandAnalyticsApp - 브랜드 분석 애플리케이션 시작
09:30:24.529 [main] INFO  c.e.brand_sales.BrandAnalyticsApp - Kafka 서버: 13.209.157.53:9092,15.164.111.153:9092,3.34.32.69:9092
09:30:24.531 [main] INFO  c.e.brand_sales.BrandAnalyticsApp - 소스 토픽: test-topic
09:30:24.531 [main] INFO  c.e.brand_sales.BrandAnalyticsApp - 브랜드별 매출 싱크 토픽: sales_minute-minute
09:30:24.531 [main] INFO  c.e.brand_sales.BrandAnalyticsApp - 브랜드별 베스트 스토어 싱크 토픽: sales_minute-best-store
09:30:25.085 [main] WARN  o.a.f.s.c.kafka.FlinkKafkaProducer - Property [transaction.timeout.ms] not specified. Setting it to 3600000 ms
